"REF_DATE","GEO","DGUID","Vehicle Type","Fuel Type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2021A000011124","Other vehicles, weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857957","1.7.3.1","875","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing less than 4,535 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446857958","1.7.4.1","3","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing less than 4,535 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446857959","1.7.5.1","1","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing less than 4,535 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446857960","1.7.6.1","0","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing less than 4,535 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446857961","1.7.7.1","53","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 4,536 to 11,793 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446857962","1.8.1.1","558072","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 4,536 to 11,793 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446857963","1.8.2.1","174294","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 4,536 to 11,793 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857964","1.8.3.1","383726","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 4,536 to 11,793 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446857965","1.8.4.1","7","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 4,536 to 11,793 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446857966","1.8.5.1","1","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 4,536 to 11,793 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446857967","1.8.6.1","0","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 4,536 to 11,793 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446857968","1.8.7.1","44","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing 4,536 to 11,793 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446857969","1.9.1.1","0","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing 4,536 to 11,793 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446857970","1.9.2.1","0","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing 4,536 to 11,793 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857971","1.9.3.1","0","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing 4,536 to 11,793 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446857972","1.9.4.1","0","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing 4,536 to 11,793 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446857973","1.9.5.1","0","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing 4,536 to 11,793 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446857974","1.9.6.1","0","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing 4,536 to 11,793 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446857975","1.9.7.1","0","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing 4,536 to 11,793 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446857976","1.10.1.1","594","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing 4,536 to 11,793 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446857977","1.10.2.1","195","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing 4,536 to 11,793 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857978","1.10.3.1","399","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing 4,536 to 11,793 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446857979","1.10.4.1","0","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing 4,536 to 11,793 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446857980","1.10.5.1","0","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing 4,536 to 11,793 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446857981","1.10.6.1","0","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing 4,536 to 11,793 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446857982","1.10.7.1","0","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing 4,536 to 11,793 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446857983","1.11.1.1","322184","","","","0"
